TRT	STY	SYM	MKT	PRC	SIZ	TCK	LQI
2018-11-23 10:00:00.413	SHARE	EL	REGS	10.960000	2	16868998	4
2018-11-23 10:00:00.453	SHARE	OIL	REGS	0.143000	1000	16868999	4
2018-11-23 10:00:00.774	SHARE	SNG	REGS	35.400000	10	16869000	4
2018-11-23 10:00:00.792	SHARE	SNP	REGS	0.365000	800	16869001	4
2018-11-23 10:00:00.85	SHARE	TBM	REGS	0.240000	5000	16869002	4
2018-11-23 10:00:00.86	SHARE	TGN	REGS	351.000000	176	16869003	4
2018-11-23 10:00:00.872	SHARE	SIF3	REGS	0.200000	2380	16869004	4
2018-11-23 10:00:00.88	SHARE	SIF3	REGS	0.200000	2620	16869005	4
2018-11-23 10:00:00.895	SHARE	TEL	REGS	22.900000	100	16869006	4
2018-11-23 10:00:00.903	SHARE	TEL	REGS	22.900000	900	16869007	4
2018-11-23 10:00:00.909	SHARE	TEL	REGS	22.900000	1000	16869008	4
2018-11-23 10:00:00.924	SHARE	TLV	REGS	2.335000	100	16869009	4
2018-11-23 10:00:00.931	SHARE	TLV	REGS	2.335000	41	16869010	4
2018-11-23 10:00:00.939	SHARE	TLV	REGS	2.335000	200	16869011	4
2018-11-23 10:00:00.945	SHARE	TLV	REGS	2.335000	5000	16869012	4
2018-11-23 10:00:00.952	SHARE	TLV	REGS	2.335000	4987	16869013	4
2018-11-23 10:00:00.966	SHARE-ATS	UNIT	XRS1	22.600000	8	16869014	4
2018-11-23 10:00:00.974	SHARE-ATS	UNIT	XRS1	22.600000	292	16869015	4
2018-11-23 10:00:00.981	SHARE-ATS	UNIT	XRS1	22.600000	8	16869016	4
2018-11-23 10:00:08.496	SHARE	TEL	REGS	22.900000	1000	16869017	2
2018-11-23 10:00:08.973	SHARE	SIF3	REGS	0.200000	22000	16869018	2
2018-11-23 10:00:13.273	SHARE	TEL	REGS	22.900000	707	16869019	2
2018-11-23 10:00:19.392	SHARE	OIL	REGS	0.150000	1	16869020	1
2018-11-23 10:00:31.278	SHARE-ATS	UNIT	XRS1	23.600000	308	16869021	1
2018-11-23 10:00:39.969	SHARE-ATS	UNIT	XRS1	23.600000	92	16869022	1
2018-11-23 10:02:44.373	SHARE	TLV	REGS	2.340000	100	16869023	1
2018-11-23 10:02:53.669	SHARE	SNP	REGS	0.365000	1000	16869024	1
2018-11-23 10:03:07.473	SHARE	TEL	REGS	22.900000	150	16869025	1
2018-11-23 10:03:23.289	SHARE	EL	REGS	10.940000	45	16869026	2
2018-11-23 10:03:28.237	SHARE	CEON	REGS	0.332000	6500	16869027	2
2018-11-23 10:03:36.647	SHARE	SIF1	REGS	2.290000	10	16869028	1
2018-11-23 10:03:53.493	SHARE	CEON	REGS	0.336000	2490	16869029	1
2018-11-23 10:03:53.495	SHARE	CEON	REGS	0.336000	1000	16869030	1
2018-11-23 10:03:53.497	SHARE	CEON	REGS	0.339000	10	16869031	1
2018-11-23 10:03:56.417	SHARE	SIF2	REGS	1.270000	1	16869032	2
2018-11-23 10:03:56.419	SHARE	SIF2	REGS	1.270000	7499	16869033	2
2018-11-23 10:04:01.261	SHARE	SIF2	REGS	1.272000	100	16869034	1
2018-11-23 10:04:30.148	SHARE	SIF5	REGS	2.075000	10	16869035	1
2018-11-23 10:05:57.306	SHARE	EL	REGS	10.900000	300	16869036	2
2018-11-23 10:05:57.308	SHARE	EL	REGS	10.900000	700	16869037	2
2018-11-23 10:07:32.517	SHARE	EL	REGS	10.900000	1900	16869038	2
2018-11-23 10:09:05.274	SHARE	SNP	REGS	0.365000	1000	16869039	1
2018-11-23 10:10:08.597	SHARE	TLV	REGS	2.335000	13	16869040	2
2018-11-23 10:10:08.599	SHARE	TLV	REGS	2.335000	689	16869041	2
2018-11-23 10:11:29.583	SHARE	RRC	REGS	0.048800	500	16869042	2
2018-11-23 10:13:43.27	SHARE	TEL	REGS	22.900000	100	16869043	1
2018-11-23 10:17:10.746	SHARE	BRD	REGS	13.460000	40	16869044	1
2018-11-23 10:17:32.638	STR-PRD	BKDOWTS56	RGSP	12.910000	10	16869045	2
2018-11-23 10:18:16.128	STR-PRD	BKDOWTL57	RGSP	6.150000	3	16869046	2
2018-11-23 10:19:31.01	STR-PRD	BKDOWTL57	RGSP	6.210000	150	16869047	1
2018-11-23 10:19:46.011	SHARE	SNP	REGS	0.364500	500	16869048	2
2018-11-23 10:19:46.014	SHARE	SNP	REGS	0.364000	94579	16869049	2
2018-11-23 10:19:46.016	SHARE	SNP	REGS	0.364000	3320	16869050	2
2018-11-23 10:20:22.085	SHARE	FP	REGS	0.944000	100	16869051	1
2018-11-23 10:20:37.261	SHARE	EL	REGS	10.900000	609	16869052	2
2018-11-23 10:20:45.043	STR-PRD	EBDAXTL52	RGSP	18.500000	5	16869053	1
2018-11-23 10:22:01.357	SHARE	EL	REGS	10.900000	250	16869054	2
2018-11-23 10:24:03.657	STR-PRD	EBBMWTS4	RGSP	11.030000	500	16869055	2
2018-11-23 10:24:10.246	SHARE	EL	REGS	10.900000	1000	16869056	2
2018-11-23 10:24:15.11	STR-PRD	EBBMWTL3	RGSP	5.180000	1000	16869057	1
2018-11-23 10:24:27.857	SHARE	EPT	REGS	0.010000	500	16869058	2
2018-11-23 10:25:47.418	SHARE	SNG	REGS	35.200000	20	16869059	2
2018-11-23 10:25:47.42	SHARE	SNG	REGS	35.200000	525	16869060	2
2018-11-23 10:25:56.403	SHARE	SNP	REGS	0.363500	3300	16869061	2
2018-11-23 10:25:56.405	SHARE	SNP	REGS	0.363500	4000	16869062	2
2018-11-23 10:25:56.408	SHARE	SNP	REGS	0.363000	20000	16869063	2
2018-11-23 10:25:56.409	SHARE	SNP	REGS	0.363000	20000	16869064	2
2018-11-23 10:25:56.41	SHARE	SNP	REGS	0.363000	15000	16869065	2
2018-11-23 10:25:56.412	SHARE	SNP	REGS	0.363000	16000	16869066	2
2018-11-23 10:25:56.413	SHARE	SNP	REGS	0.363000	700	16869067	2
2018-11-23 10:26:13.121	SHARE	EL	REGS	10.900000	541	16869068	2
2018-11-23 10:26:48.185	SHARE	TGN	REGS	352.000000	2	16869069	1
2018-11-23 10:26:51.209	SHARE	DIGI	REGS	29.600000	15	16869070	1
2018-11-23 10:26:51.389	SHARE	SNP	REGS	0.364000	2000	16869071	1
2018-11-23 10:27:07.222	STR-PRD	EBDBKTL9	RGSP	0.700000	990	16869072	1
2018-11-23 10:27:07.225	STR-PRD	EBDBKTL9	RGSP	0.700000	1010	16869073	1
2018-11-23 10:27:42.981	SHARE	SNN	REGS	9.000000	1000	16869074	1
2018-11-23 10:28:00.766	SHARE	FP	REGS	0.940000	31434	16869075	1
2018-11-23 10:28:37.123	SHARE	SNN	REGS	9.000000	400	16869076	1
2018-11-23 10:29:18.728	SHARE	SNN	REGS	9.000000	1000	16869077	1
2018-11-23 10:29:29.19	SHARE	SNG	REGS	35.350000	8	16869078	1
2018-11-23 10:29:57.79	SHARE	SFG	REGS	20.300000	17	16869079	2
2018-11-23 10:29:57.793	SHARE	SFG	REGS	20.200000	15	16869080	2
2018-11-23 10:29:57.794	SHARE	SFG	REGS	20.200000	35	16869081	2
2018-11-23 10:29:57.797	SHARE	SFG	REGS	20.100000	13	16869082	2
2018-11-23 10:30:21.412	SHARE	TLV	REGS	2.340000	1	16869083	1
2018-11-23 10:31:01.967	SHARE	SIF1	REGS	2.250000	4700	16869084	2
2018-11-23 10:31:06.234	SHARE	SIF1	REGS	2.250000	4000	16869085	2
2018-11-23 10:31:43.002	SHARE	TGN	REGS	352.000000	5	16869086	1
2018-11-23 10:32:19.464	SHARE	SNG	REGS	35.400000	200	16869087	1
2018-11-23 10:32:34.944	SHARE	SFG	REGS	20.100000	22	16869088	2
2018-11-23 10:32:34.947	SHARE	SFG	REGS	20.100000	307	16869089	2
2018-11-23 10:32:34.948	SHARE	SFG	REGS	20.100000	20	16869090	2
2018-11-23 10:32:34.949	SHARE	SFG	REGS	20.100000	18	16869091	2
2018-11-23 10:32:34.95	SHARE	SFG	REGS	20.100000	300	16869092	2
2018-11-23 10:32:34.952	SHARE	SFG	REGS	20.000000	50	16869093	2
2018-11-23 10:32:34.954	SHARE	SFG	REGS	20.000000	20	16869094	2
2018-11-23 10:32:34.955	SHARE	SFG	REGS	20.000000	15	16869095	2
2018-11-23 10:32:34.956	SHARE	SFG	REGS	20.000000	10	16869096	2
2018-11-23 10:32:34.957	SHARE	SFG	REGS	20.000000	4	16869097	2
2018-11-23 10:32:34.959	SHARE	SFG	REGS	20.000000	50	16869098	2
2018-11-23 10:32:34.96	SHARE	SFG	REGS	20.000000	14	16869099	2
2018-11-23 10:32:34.961	SHARE	SFG	REGS	20.000000	10	16869100	2
2018-11-23 10:32:34.962	SHARE	SFG	REGS	20.000000	40	16869101	2
2018-11-23 10:32:34.963	SHARE	SFG	REGS	20.000000	51	16869102	2
2018-11-23 10:34:09.332	SHARE	SNN	REGS	8.990000	475	16869103	2
2018-11-23 10:34:09.335	SHARE	SNN	REGS	8.980000	1300	16869104	2
2018-11-23 10:34:09.336	SHARE	SNN	REGS	8.980000	6500	16869105	2
2018-11-23 10:34:09.338	SHARE	SNN	REGS	8.970000	1725	16869106	2
2018-11-23 10:34:21.848	SHARE	TEL	REGS	22.900000	5	16869107	1
2018-11-23 10:34:41.737	STR-PRD	BKDOWTS61	RGSP	10.900000	10	16869108	1
2018-11-23 10:34:41.87	SHARE	SFG	REGS	20.000000	549	16869109	2
2018-11-23 10:34:41.871	SHARE	SFG	REGS	20.000000	699	16869110	2
2018-11-23 10:34:47.219	SHARE	SFG	REGS	20.000000	1	16869111	2
2018-11-23 10:34:53.836	SHARE	SFG	REGS	19.500000	1	16869112	2
2018-11-23 10:35:03.617	SHARE	VNC	REGS	0.175500	2594	16869113	2
2018-11-23 10:35:41.475	SHARE	SNN	REGS	9.000000	600	16869114	1
2018-11-23 10:36:18.444	SHARE	SFG	REGS	20.500000	10	16869115	1
2018-11-23 10:36:41.873	SHARE	ALU	REGS	0.720000	13	16869116	1
2018-11-23 10:36:43.469	SHARE	RCHI	XRS1	0.170000	97701	16869117	1
2018-11-23 10:36:43.471	SHARE	RCHI	XRS1	0.170000	50000	16869118	1
2018-11-23 10:36:43.472	SHARE	RCHI	XRS1	0.170000	2299	16869119	1
2018-11-23 10:36:48.828	SHARE	SFG	REGS	20.500000	5	16869120	1
2018-11-23 10:37:18.68	SHARE	SIF1	REGS	2.240000	1182	16869121	2
2018-11-23 10:37:18.683	SHARE	SIF1	REGS	2.230000	3818	16869122	2
2018-11-23 10:37:27.312	STR-PRD	BKDOWTL57	RGSP	6.150000	200	16869123	2
2018-11-23 10:37:28.078	SHARE	SIF1	REGS	2.230000	4000	16869124	2
2018-11-23 10:37:47.102	STR-PRD	EBDOWTS8	RGSP	130.000000	5	16869125	1
2018-11-23 10:37:55.527	SHARE	RCHI	XRS1	0.170000	50000	16869126	1
2018-11-23 10:38:48.333	STR-PRD	BKDOWTS61	RGSP	10.910000	30	16869127	1
2018-11-23 10:40:14.228	STR-PRD	BKDOWTS61	RGSP	10.920000	30	16869128	1
2018-11-23 10:41:04.693	SHARE	SIF3	REGS	0.201000	1250	16869129	1
2018-11-23 10:41:16.543	SHARE-INT	UNP	XRSI	113.600000	15	16869130	1
