SYM	MKT	EFD	VAL	VAD	VOL	TRD	OPN	CLS	AVG	LOW	HIG	CLA	CLP	CAA	CAP	UTI	ISI	RPR	RPT	PMK	CRF
AAG	DEALS	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.698	ROAAGEACNOR7	3.060000	2	0	3.070000
AAG	REGS	20181108	2990.180000	2990.180000	974	5	3.070000	3.070000	3.070000	3.070000	3.070000	0.010000	0.330000	0.010000	0.330000	2018-11-08 17:36:30.758	ROAAGEACNOR7	3.060000	2	1	3.070000
ACBU	POFX	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.54	ROACBUACNOR0	0.890000	1	0	0.890000
ACBU	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.037	ROACBUACNOR0	0.890000	1	0	0.890000
ACBU	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.905	ROACBUACNOR0	0.890000	1	1	0.890000
ADMY	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:13.92	ROADMYACNOR7	3.520000	1	0	3.520000
ADMY	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.77	ROADMYACNOR7	3.520000	1	1	3.520000
ADS	XDSI	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.602	DE000A1EWWW0	969.000000	1	0	969.000000
ADS	XRSI	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 17:56:57.824	DE000A1EWWW0	969.000000	1	1	969.000000
AGCM	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.26	ROAGCMACNOR6	0.000000	1	0	0.000000
AGCM	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.496	ROAGCMACNOR6	0.000000	1	1	0.000000
AGQR	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.075	ROAGQRACNOR5	2.200000	1	0	2.200000
AGQR	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.955	ROAGQRACNOR5	2.200000	1	1	2.200000
ALB	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.289	ROAPAMACNOR1	0.348000	1	0	0.348000
ALB	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 09:45:46.514	ROAPAMACNOR1	0.348000	1	1	0.348000
ALB25	ORDB	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.073	ROALBUDBL032	87.550000	2	1	87.550000
ALB25	QIDB	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.528	ROALBUDBL032	87.550000	2	0	87.550000
ALB25A	ORDB	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 09:45:02.252	ROALBUDBL040	93.000000	2	1	93.000000
ALB25A	QIDB	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.505	ROALBUDBL040	93.000000	2	0	93.000000
ALB25B	ORDB	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.113	ROALBUDBL057	99.200000	2	1	99.200000
ALB25B	QIDB	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.474	ROALBUDBL057	99.200000	2	0	99.200000
ALB26	ORDB	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.159	ROALBUDBL065	99.250000	2	1	99.250000
ALB26	QIDB	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.514	ROALBUDBL065	99.250000	2	0	99.250000
ALB27	ORDB	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.125	ROALBUDBL073	99.250000	2	1	99.250000
ALB27	QIDB	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.484	ROALBUDBL073	99.250000	2	0	99.250000
ALCQ	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:13.883	ROALCQACNOR7	41.000000	1	0	41.000000
ALCQ	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 11:46:36.657	ROALCQACNOR7	41.000000	1	1	41.000000
ALR	DEALS	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.811	ROALROACNOR0	3.180000	2	0	3.290000
ALR	POF	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.477	ROALROACNOR0	3.180000	2	0	3.290000
ALR	POFS	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.562	ROALROACNOR0	3.180000	2	0	3.290000
