TRT	STY	SYM	MKT	PRC	SIZ	TCK	LQI
2018-11-07 10:00:00.413	SHARE	ALU	REGS	0.730000	375	16843803	4
2018-11-07 10:00:00.447	SHARE	BRM	REGS	1.150000	60	16843804	4
2018-11-07 10:00:00.772	SHARE	CBC	REGS	13.600000	5	16843805	4
2018-11-07 10:00:00.786	SHARE	EPT	REGS	0.011000	4000	16843806	4
2018-11-07 10:00:00.839	SHARE	SFG	REGS	23.500000	2	16843807	4
2018-11-07 10:00:00.852	SHARE	SIF2	REGS	1.300000	352	16843808	4
2018-11-07 10:00:00.865	SHARE	TUFE	REGS	0.280000	100	16843809	4
2018-11-07 10:00:00.879	SHARE	SNP	REGS	0.393000	1500	16843810	4
2018-11-07 10:00:00.886	SHARE	SNP	REGS	0.393000	1730	16843811	4
2018-11-07 10:00:00.899	SHARE	TLV	REGS	2.360000	100	16843812	4
2018-11-07 10:00:00.906	SHARE	TLV	REGS	2.360000	842	16843813	4
2018-11-07 10:00:00.914	SHARE	TLV	REGS	2.360000	980	16843814	4
2018-11-07 10:00:00.92	SHARE	TLV	REGS	2.360000	78	16843815	4
2018-11-07 10:00:00.927	SHARE	TLV	REGS	2.360000	2000	16843816	4
2018-11-07 10:00:00.933	SHARE	TLV	REGS	2.360000	922	16843817	4
2018-11-07 10:00:00.94	SHARE	TLV	REGS	2.360000	639	16843818	4
2018-11-07 10:00:00.946	SHARE	TLV	REGS	2.360000	1261	16843819	4
2018-11-07 10:00:00.953	SHARE	TLV	REGS	2.360000	583	16843820	4
2018-11-07 10:00:00.959	SHARE	TLV	REGS	2.360000	15156	16843821	4
2018-11-07 10:00:00.966	SHARE	TLV	REGS	2.360000	290	16843822	4
2018-11-07 10:00:00.98	SHARE	UARG	XRS1	1.690000	20	16843823	4
2018-11-07 10:00:00.994	SHARE	UZIN	XRS1	0.695000	100	16843824	4
2018-11-07 10:00:01.008	SHARE	SEVE	XRS1	4.800000	112	16843825	4
2018-11-07 10:00:01.015	SHARE	SEVE	XRS1	4.800000	23	16843826	4
2018-11-07 10:00:14.837	SHARE	TBM	REGS	0.269500	8000	16843827	2
2018-11-07 10:00:28.252	SHARE	TLV	REGS	2.360000	1000	16843828	2
2018-11-07 10:03:02.144	SHARE	SIF2	REGS	1.300000	150	16843829	1
2018-11-07 10:04:10.085	SHARE	TLV	REGS	2.360000	1000	16843830	2
2018-11-07 10:04:52.286	SHARE	SIF3	REGS	0.205500	21	16843831	1
2018-11-07 10:05:31.541	SHARE	TLV	REGS	2.360000	2120	16843832	2
2018-11-07 10:06:04.22	SHARE	SNG	REGS	34.500000	200	16843833	1
2018-11-07 10:06:31.76	SHARE	ALU	REGS	0.730000	117	16843834	1
2018-11-07 10:06:31.763	SHARE	ALU	REGS	0.735000	500	16843835	1
2018-11-07 10:06:31.765	SHARE	ALU	REGS	0.735000	2883	16843836	1
2018-11-07 10:07:06.246	SHARE	TLV	REGS	2.365000	1	16843837	1
2018-11-07 10:08:00.729	SHARE-INT	EBS	REGS	167.000000	99	16843838	1
2018-11-07 10:08:40.982	SHARE	ALU	REGS	0.735000	200	16843839	1
2018-11-07 10:08:43.535	SHARE	TUFE	REGS	0.280000	9900	16843840	1
2018-11-07 10:08:43.537	SHARE	TUFE	REGS	0.280000	2100	16843841	1
2018-11-07 10:09:35.307	SHARE	SNG	REGS	34.500000	200	16843842	1
2018-11-07 10:09:46.293	SHARE	SIF2	REGS	1.300000	750	16843843	1
2018-11-07 10:10:03.738	SHARE	ALR	REGS	3.130000	100	16843844	1
2018-11-07 10:10:09.267	SHARE	OLT	REGS	0.366000	100	16843845	2
2018-11-07 10:10:24.959	SHARE	BRD	REGS	13.420000	400	16843846	1
2018-11-07 10:10:24.961	SHARE	BRD	REGS	13.420000	135	16843847	1
2018-11-07 10:11:12.125	SHARE	SIF3	REGS	0.204000	2368	16843848	2
2018-11-07 10:11:12.127	SHARE	SIF3	REGS	0.204000	1500	16843849	2
2018-11-07 10:11:12.13	SHARE	SIF3	REGS	0.203000	3500	16843850	2
2018-11-07 10:11:38.363	SHARE	PTR	REGS	0.318000	99	16843851	1
2018-11-07 10:11:38.366	SHARE	PTR	REGS	0.320000	3000	16843852	1
2018-11-07 10:11:38.368	SHARE	PTR	REGS	0.322000	320	16843853	1
2018-11-07 10:11:38.37	SHARE	PTR	REGS	0.326000	170	16843854	1
2018-11-07 10:11:38.372	SHARE	PTR	REGS	0.326000	320	16843855	1
2018-11-07 10:11:38.373	SHARE	PTR	REGS	0.328000	1300	16843856	1
2018-11-07 10:11:38.375	SHARE	PTR	REGS	0.328000	1000	16843857	1
2018-11-07 10:11:38.377	SHARE	PTR	REGS	0.330000	1000	16843858	1
2018-11-07 10:11:38.378	SHARE	PTR	REGS	0.330000	340	16843859	1
2018-11-07 10:11:38.38	SHARE	PTR	REGS	0.330000	1500	16843860	1
2018-11-07 10:11:38.381	SHARE	PTR	REGS	0.338000	951	16843861	1
2018-11-07 10:11:42.31	SHARE	SIF5	REGS	2.130000	461	16843862	2
2018-11-07 10:11:49.819	SHARE	ALU	REGS	0.735000	900	16843863	1
2018-11-07 10:12:46.889	SHARE	BVB	REGS	23.900000	8	16843864	2
2018-11-07 10:13:17.491	SHARE	SIF4	REGS	0.616000	5000	16843865	1
2018-11-07 10:13:49.892	SHARE	SIF5	REGS	2.130000	2450	16843866	1
2018-11-07 10:14:25.312	SHARE	IARV	REGS	7.200000	40	16843867	1
2018-11-07 10:14:25.316	SHARE	IARV	REGS	7.260000	350	16843868	1
2018-11-07 10:14:25.317	SHARE	IARV	REGS	7.280000	10	16843869	1
2018-11-07 10:15:00.028	SHARE-INT	DBK	XRSI	43.435000	4	16843870	4
2018-11-07 10:15:00.346	STR-PRD	EBDOWTL6	RGSP	110.000000	3	16843871	4
2018-11-07 10:15:00.358	STR-PRD	EBTLVTL10	RGSP	5.120000	113	16843872	4
2018-11-07 10:15:00.372	STR-PRD	BKDOWTS56	RGSP	7.750000	2	16843873	4
2018-11-07 10:15:00.379	STR-PRD	BKDOWTS56	RGSP	7.750000	200	16843874	4
2018-11-07 10:15:00.386	STR-PRD	BKDOWTS56	RGSP	7.750000	200	16843875	4
2018-11-07 10:15:00.393	STR-PRD	BKDOWTS56	RGSP	7.750000	200	16843876	4
2018-11-07 10:15:06.501	STR-PRD	BKDOWTS56	RGSP	7.650000	120	16843877	2
2018-11-07 10:15:19.881	STR-PRD	BKDOWTL57	RGSP	11.780000	50	16843878	2
2018-11-07 10:15:24.722	SHARE	OIL	REGS	0.152000	1178	16843879	1
2018-11-07 10:15:24.724	SHARE	OIL	REGS	0.152000	3855	16843880	1
2018-11-07 10:15:24.725	SHARE	OIL	REGS	0.152000	3000	16843881	1
2018-11-07 10:15:24.727	SHARE	OIL	REGS	0.152200	11967	16843882	1
2018-11-07 10:15:45.578	STR-PRD	BKDOWTL57	RGSP	11.800000	70	16843883	2
2018-11-07 10:15:49.34	STR-PRD	EBDOWTS8	RGSP	75.700000	3	16843884	1
2018-11-07 10:16:03.112	SHARE-ATS	STNM	XRS1	5.800000	10	16843885	2
2018-11-07 10:16:06.128	SHARE	SNG	REGS	34.500000	500	16843886	1
2018-11-07 10:16:25.753	SHARE	TLV	REGS	2.365000	999	16843887	1
2018-11-07 10:16:25.755	SHARE	TLV	REGS	2.365000	1	16843888	1
2018-11-07 10:16:31.081	SHARE	TLV	REGS	2.365000	500	16843889	1
2018-11-07 10:16:31.082	SHARE	TLV	REGS	2.365000	1194	16843890	1
2018-11-07 10:16:31.084	SHARE	TLV	REGS	2.365000	1500	16843891	1
2018-11-07 10:16:31.085	SHARE	TLV	REGS	2.365000	549	16843892	1
2018-11-07 10:17:17.131	STR-PRD	BKDOWTS56	RGSP	7.700000	1	16843893	1
2018-11-07 10:17:20.444	SHARE	ALR	REGS	3.130000	200	16843894	1
2018-11-07 10:17:41.605	SHARE	SIF1	REGS	2.550000	10	16843895	1
2018-11-07 10:17:50.98	STR-PRD	EBDAXTL52	RGSP	37.700000	25	16843896	2
2018-11-07 10:18:16.159	SHARE	TLV	REGS	2.365000	40	16843897	1
2018-11-07 10:18:27.512	STR-PRD	BKDOWTS56	RGSP	7.680000	1	16843898	1
2018-11-07 10:18:35.17	SHARE	SIF5	REGS	2.130000	989	16843899	1
2018-11-07 10:18:39.344	STR-PRD	EBDOWTS8	RGSP	75.700000	5	16843900	1
2018-11-07 10:18:46.408	SHARE	ALR	REGS	3.130000	250	16843901	1
2018-11-07 10:18:53.47	SHARE	TLV	REGS	2.360000	1000	16843902	2
2018-11-07 10:19:01.33	SHARE	SIF5	REGS	2.160000	300	16843903	1
2018-11-07 10:19:01.332	SHARE	SIF5	REGS	2.160000	100	16843904	1
2018-11-07 10:19:18.688	SHARE	TLV	REGS	2.365000	100	16843905	1
2018-11-07 10:19:21.092	STR-PRD	BKDOWTL57	RGSP	11.840000	1	16843906	1
2018-11-07 10:19:47.95	STR-PRD	BKDOWTS56	RGSP	7.650000	1	16843907	1
2018-11-07 10:19:49.111	SHARE	ALR	REGS	3.130000	250	16843908	2
2018-11-07 10:19:56.737	STR-PRD	BKDOWTL57	RGSP	11.830000	50	16843909	2
2018-11-07 10:20:03.958	STR-PRD	BKDOWTS56	RGSP	7.640000	160	16843910	2
2018-11-07 10:20:04.998	STR-PRD	BKDOWTL57	RGSP	11.830000	9	16843911	1
2018-11-07 10:20:07.746	STR-PRD	EBDOWTL6	RGSP	110.300000	12	16843912	1
2018-11-07 10:20:15.955	STR-PRD	EBDOWTL6	RGSP	110.500000	40	16843913	1
2018-11-07 10:20:23.803	SHARE	CEON	REGS	0.351000	28492	16843914	1
2018-11-07 10:20:25.02	STR-PRD	EBDAXTL52	RGSP	38.100000	25	16843915	1
2018-11-07 10:20:26.656	STR-PRD	BKDOWTS56	RGSP	7.600000	1	16843916	1
2018-11-07 10:20:31.442	SHARE	TLV	REGS	2.365000	311	16843917	1
2018-11-07 10:20:31.444	SHARE	TLV	REGS	2.365000	9689	16843918	1
2018-11-07 10:20:36.264	SHARE-INT	SAP	XRSI	440.450000	8	16843919	1
2018-11-07 10:20:42.869	SHARE	FP	REGS	0.948000	100	16843920	1
2018-11-07 10:20:49.861	SHARE	TLV	REGS	2.365000	856	16843921	1
2018-11-07 10:20:56.156	STR-PRD	BKDOWTL57	RGSP	11.900000	25	16843922	1
2018-11-07 10:20:57.011	STR-PRD	EBDOWTL6	RGSP	111.000000	26	16843923	1
2018-11-07 10:20:57.013	STR-PRD	EBDOWTL6	RGSP	111.000000	20	16843924	1
2018-11-07 10:20:59.357	STR-PRD	BKDOWTS56	RGSP	7.550000	250	16843925	1
2018-11-07 10:21:13.486	SHARE	PBK	REGS	0.093400	7204	16843926	1
2018-11-07 10:21:13.488	SHARE	PBK	REGS	0.094600	5000	16843927	1
2018-11-07 10:21:13.489	SHARE	PBK	REGS	0.094600	17135	16843928	1
2018-11-07 10:21:30.032	STR-PRD	BKDOWTL57	RGSP	11.960000	1	16843929	1
2018-11-07 10:21:33.049	SHARE	IARV	REGS	7.280000	32	16843930	1
2018-11-07 10:21:33.051	SHARE	IARV	REGS	7.280000	58	16843931	1
2018-11-07 10:21:33.803	STR-PRD	EBWTITS22	RGSP	8.200000	14	16843932	1
2018-11-07 10:21:55.279	STR-PRD	EBDAXTL52	RGSP	38.500000	100	16843933	1
2018-11-07 10:21:55.281	STR-PRD	EBDAXTL52	RGSP	38.500000	25	16843934	1
2018-11-07 10:21:58.793	SHARE	TLV	REGS	2.360000	277	16843935	2
2018-11-07 10:22:00.772	STR-PRD	BKDOWTS56	RGSP	7.530000	1	16843936	1
2018-11-07 10:22:04.255	SHARE	TLV	REGS	2.360000	2000	16843937	2
2018-11-07 10:22:08.653	STR-PRD	EBDBKTL9	RGSP	1.190000	500	16843938	1
2018-11-07 10:22:24.332	SHARE	SCD	REGS	3.420000	800	16843939	1
2018-11-07 10:22:35.251	STR-PRD	EBGLD1	RGSP	161.800000	738	16843940	1
2018-11-07 10:22:43.044	SHARE	SNG	REGS	34.500000	11	16843941	1
2018-11-07 10:22:55.433	STR-PRD	BKDOWTL57	RGSP	11.930000	1	16843942	1
2018-11-07 10:22:57.585	SHARE	BRD	REGS	13.420000	115	16843943	1
2018-11-07 10:22:57.587	SHARE	BRD	REGS	13.420000	11	16843944	1
2018-11-07 10:22:57.588	SHARE	BRD	REGS	13.420000	4674	16843945	1
2018-11-07 10:22:59.304	SHARE	BRD	REGS	13.420000	45326	16843946	1
