TCK	SDE	TRT	SYM	MKT	PRC	DTP	SIZ	VAL	BRK	MBR	ACC	ACT	GRP	ORD	UID	BNK	BKA	STD	DIN	FST	CLT	GRS	FAL	ALD	EXT	STY	REF	STS	SSL	OTK	CLC	LQI	IAC	ORF	TAC	TDV	ETK	TTY	CYL	OSQ	NEG	ALG
16843903	1	2018-11-07 10:19:01.33	SIF5	REGS	2.160000	2.160000	300	648.000000	K8	K8	4848008	1	0	39542294	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1028733		4848008	XBSE		REG	0	247950148	A	N
16843904	1	2018-11-07 10:19:01.332	SIF5	REGS	2.160000	2.160000	100	216.000000	K8	K8	4848008	1	0	39542294	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1028733		4848008	XBSE		REG	0	247950150	A	N
16843920	1	2018-11-07 10:20:42.869	FP	REGS	0.948000	0.948000	100	94.800000	K8	K8	4848008	1	0	39542318	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1028733		4848008	XBSE		REG	0	247952052	A	N
16843968	2	2018-11-07 10:27:18.03	CEON	REGS	0.355000	0.355000	100	35.500000	K8	K8	4848008	1	0	39531991	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032931		4848008	XBSE		REG	0	247958466	A	N
16843988	2	2018-11-07 10:29:41.764	IARV	REGS	7.300000	7.300000	112	817.600000	K8	K8	4848008	1	0	39438071	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1003757		4848008	XBSE		REG	0	247960559	A	N
16843996	2	2018-11-07 10:31:34.279	ROCE	REGS	0.142000	0.142000	8172	1160.424000	K8	K8	4848008	1	0	37602044	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032654		4848008	XBSE		REG	0	247962526	A	N
16844040	2	2018-11-07 10:39:06.281	TLV	REGS	2.365000	2.365000	1000	2365.000000	K8	K8	4848008	1	0	39542167	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032638		4848008	XBSE		REG	0	247969002	A	N
16844052	2	2018-11-07 10:39:32.545	TLV	REGS	2.370000	2.370000	1582	3749.340000	K8	K8	4848008	1	0	37604764	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1033014		4848008	XBSE		REG	0	247969306	A	N
16844063	2	2018-11-07 10:39:32.559	TLV	REGS	2.370000	2.370000	500	1185.000000	K8	K8	4848008	1	0	39542332	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1002117		4848008	XBSE		REG	0	247969328	A	N
16844114	2	2018-11-07 10:45:35.422	CEON	REGS	0.355000	0.355000	2850	1011.750000	K8	K8	4848008	1	0	39531991	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032931		4848008	XBSE		REG	0	247975006	A	N
16844131	1	2018-11-07 10:49:04.719	SIF4	REGS	0.610000	0.610000	1500	915.000000	K8	K8	4848008	1	0	39542662	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	2	1032931		4848008	XBSE		REG	0	247977731	A	N
16844147	2	2018-11-07 10:56:53.39	IARV	REGS	7.300000	7.300000	80	584.000000	K8	K8	4848008	1	0	39438071	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1003757		4848008	XBSE		REG	0	247984089	A	N
16844152	1	2018-11-07 10:58:04.488	TLV	REGS	2.370000	2.370000	90	213.300000	K8	K8	4848008	1	0	39542722	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	2	1032756		4848008	XBSE		REG	0	247985072	A	N
16844178	2	2018-11-07 11:04:31.896	CEON	REGS	0.355000	0.355000	2500	887.500000	K8	K8	4848008	1	0	39531991	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032931		4848008	XBSE		REG	0	247990383	A	N
16844189	1	2018-11-07 11:10:52.809	SIF4	REGS	0.610000	0.610000	1600	976.000000	K8	K8	4848008	1	0	39542911	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032931		4848008	XBSE		REG	0	247994732	A	N
16844192	2	2018-11-07 11:11:30.156	IARV	REGS	7.300000	7.300000	58	423.400000	K8	K8	4848008	1	0	39438071	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1003757		4848008	XBSE		REG	0	247995269	A	N
16844199	2	2018-11-07 11:12:46.456	IARV	REGS	7.300000	7.300000	42	306.600000	K8	K8	4848008	1	0	39542929	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	2	3105		4848008	XBSE		REG	0	247996234	A	N
16844200	2	2018-11-07 11:12:58.782	IARV	REGS	7.300000	7.300000	108	788.400000	K8	K8	4848008	1	0	39542929	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	3105		4848008	XBSE		REG	0	247996319	A	N
16844205	1	2018-11-07 11:13:39.264	TLV	REGS	2.375000	2.375000	90	213.750000	K8	K8	4848008	1	0	39542936	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032758		4848008	XBSE		REG	0	247996599	A	N
16844206	1	2018-11-07 11:14:19.439	SIF4	REGS	0.610000	0.610000	1307	797.270000	K8	K8	4848008	1	0	39542942	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032913		4848008	XBSE		REG	0	247997048	A	N
16844207	1	2018-11-07 11:14:26.733	FP	REGS	0.946000	0.946000	100	94.600000	K8	K8	4848008	1	0	39542943	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1028733		4848008	XBSE		REG	0	247997121	A	N
16844209	1	2018-11-07 11:14:48.877	EBS	REGS	169.850000	169.850000	1	169.850000	K8	K8	4848008	1	0	39542946	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE-INT		1	0	0	RON	1	1028733		4848008	XBSE		REG	0	247997290	A	Y
16844216	1	2018-11-07 11:15:20.752	SIF1	REGS	2.540000	2.540000	10	25.400000	K8	K8	4848008	1	0	39542953	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1028733		4848008	XBSE		REG	0	247997676	A	N
